Country,Year,GDP (current BillUS$),GDP per capita (current US$),GDP per capita growth (annual %),Real GDP growth (Annual percent change),"Inflation rate, average consumer prices (Annual percent change)",Unemployment,Interest Rate,"Net trade in goods and services (BoP, current USB$)","Central government debt, total (% of GDP)",Population,"Population Density, as of 1 July (persons per square km)","Population Sex Ratio, as of 1 July (males per 100 females)",Population Growth Rate (Percentage),Total Fertility Rate (live births per woman),"Net Migration Rate (per 1,000 population)","Military expenditure (current USD, BS$)",Military expenditure (% of GDP),"Armed forces personnel, total"
Australia,1991,325.9666861,18859.40796,-1.643571088,-1,3.3,9.586,10.0928694,0.956062277,11.91897352,17248.461,2.259,99.413,1.207,1.863,3.967,7.023509067,2.168042858,68000
Brazil,1991,342.5340909,2233.872651,-0.700696276,1,432.8,6.896,15.21456654,6.687,65.21453259,150454.468,18.153,99.316,1.674,2.805,-0.439,6.694665295,1.963333333,295000
China,1991,383.3733181,333.1421454,7.782091992,9,3.6,2.37,1.804311855,11.601,18.42356412,1163629.156,121.957,103.94,1.223,1.934,-0.465,9.802375366,2.311243412,3200000
France,1991,1269.276828,21675.70609,0.163146328,1.3,3.4,9.134,8.751241,6.695752274,36.77452315,57133.253,103.87,94.512,0.483,1.773,0.615,35.86912092,2.812136438,542000
Germany,1991,1868.945197,23357.75773,4.345220055,5,3.5,5.316,9.1,-8.669983766,21.73250095,80039.898,230.386,93.688,0.656,1.344,7.505,37.19672973,1.997834988,457000
India,1991,270.1053419,303.850438,-1.045105467,1.1,13.5,6.85,3.624716596,-4.011561595,50.01008036,883927.6,297.299,106.936,2.137,3.959,-0.179,8.622473881,2.909974328,1270000
Japan,1991,3648.065761,29428.4289,3.117494633,3.5,3.3,2.059,5.102354689,53.73568459,38.17618736,123635.017,328.774,97.397,0.411,1.504,1.302,32.78541575,0.940821904,250000
South Africa,1991,135.2036982,3304.828377,-3.518471297,-1,15.2,20.105,4.027493262,5.12380643,31.52321456,41293.825,34.148,103.53,1.891,3.618,-0.939,3.874415134,3.222633894,80000
United Kingdom,1991,1142.797178,19900.72665,-1.4084858,-1.4,7.5,8.55,4.957660347,-10.89006188,29.19489603,57470.993,237.105,93.1,0.293,1.817,0.568,47.04545733,4.116802423,301000
United States,1991,6158.129,24342,-1.434247585,-0.1,4.2,6.8,4.915295961,-31.18,44.06159728,254912.608,28.037,96.797,1.216,2.059,4.688,299.3727791,4.883429398,2120000
