DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.

Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
1970-12-31,5984162468.6,,
1971-12-31,7726273573.1,29.11,
1972-12-31,11863655548.9,53.55,
1973-12-31,15066000213.8,26.99,
1974-12-31,22464958636,49.11,
1975-12-31,27781563139.4,23.67,
1976-12-31,33801318618.9,21.67,
1977-12-31,42500176105.4,25.74,
1978-12-31,55032094032.5,29.49,
1979-12-31,61795286977.7,12.29,
1980-12-31,71983934096.8,16.49,
1981-12-31,81914155928.9,13.8,
1982-12-31,94428719113.5,15.28,
1983-12-31,99022210538.2,4.86,
1984-12-31,104364922436.4,5.4,
1985-12-31,104173244270.1,-0.18,
1986-12-31,109645181057.1,5.25,
1987-12-31,120476573202.5,9.88,
1988-12-31,118039405885,-2.02,
1989-12-31,114930095027.7,-2.63,
1990-12-31,120311895094.7,4.68,
1991-12-31,121336709129.8,0.85,
1992-12-31,129535948557.2,6.76,
1993-12-31,144599577124.3,11.63,
1994-12-31,152903103557.7,5.74,
1995-12-31,160964228343.5,5.27,
1996-12-31,181793526989.2,12.94,
1997-12-31,198980293495.1,9.45,
1998-12-31,241998415763.8,21.62,
1999-12-31,245114967226,1.29,
2000-12-31,242511685521.8,-1.06,
2001-12-31,229959717402.1,-5.18,
2002-12-31,231944181034.5,0.86,
2003-12-31,235907984168.4,1.71,
2004-12-31,220693592600.6,-6.45,
2005-12-31,188364545589.9,-14.65,
2006-12-31,194303018016.9,3.15,
2007-12-31,238444452622.6,22.72,
2008-12-31,262957236462.6,10.28,
2009-12-31,281651138432.4,7.11,
2010-12-31,352364412862.6,25.11,
2011-12-31,404046105342.1,14.67,
2012-12-31,440496598192.8,9.02,
2013-12-31,483734834011.9,9.82,
2014-12-31,556919631071.7,15.13,
2015-12-31,543397356309.8,-2.43,
2016-12-31,543257228545.3,-0.03,
2017-12-31,543000470110.9,-0.05,
2018-12-31,557765380774.6,2.72,
2019-12-31,568708887352.2,1.96,
2020-12-31,549300435898.2,-3.41,
2021-12-31,571506915117.1,4.04,
2022-12-31,578599020063.3,1.24,
