Business confidence index (BCI),
"Amplitude adjusted, Long-term average = 100",
Category,OECD
6/1/1974 0:00,100.7281
7/1/1974 0:00,100.2436
8/1/1974 0:00,99.59381
9/1/1974 0:00,98.758
10/1/1974 0:00,97.92079
11/1/1974 0:00,97.14102
12/1/1974 0:00,96.54681
1/1/1975 0:00,96.30905
2/1/1975 0:00,96.3252
3/1/1975 0:00,96.43883
4/1/1975 0:00,96.76512
5/1/1975 0:00,97.18275
6/1/1975 0:00,97.62244
7/1/1975 0:00,98.07083
8/1/1975 0:00,98.54567
9/1/1975 0:00,98.96372
10/1/1975 0:00,99.28145
11/1/1975 0:00,99.5257
12/1/1975 0:00,99.8282
1/1/1976 0:00,100.1354
2/1/1976 0:00,100.3913
3/1/1976 0:00,100.5416
4/1/1976 0:00,100.673
5/1/1976 0:00,100.6983
6/1/1976 0:00,100.6451
7/1/1976 0:00,100.507
8/1/1976 0:00,100.3302
9/1/1976 0:00,100.1593
10/1/1976 0:00,100.0277
11/1/1976 0:00,99.94734
12/1/1976 0:00,99.9675
1/1/1977 0:00,99.94285
2/1/1977 0:00,99.93579
3/1/1977 0:00,100.007
4/1/1977 0:00,99.91103
5/1/1977 0:00,99.80972
6/1/1977 0:00,99.65582
7/1/1977 0:00,99.52544
8/1/1977 0:00,99.39542
9/1/1977 0:00,99.33643
10/1/1977 0:00,99.38308
11/1/1977 0:00,99.48966
12/1/1977 0:00,99.592
1/1/1978 0:00,99.5843
2/1/1978 0:00,99.58467
3/1/1978 0:00,99.6769
4/1/1978 0:00,99.90144
5/1/1978 0:00,100.1737
6/1/1978 0:00,100.4224
7/1/1978 0:00,100.6296
8/1/1978 0:00,100.7549
9/1/1978 0:00,100.8462
10/1/1978 0:00,100.9193
11/1/1978 0:00,100.9547
12/1/1978 0:00,100.9119
1/1/1979 0:00,100.8865
2/1/1979 0:00,100.9088
3/1/1979 0:00,100.9721
4/1/1979 0:00,101.0082
5/1/1979 0:00,100.9653
6/1/1979 0:00,100.8262
7/1/1979 0:00,100.6238
8/1/1979 0:00,100.4366
9/1/1979 0:00,100.3064
10/1/1979 0:00,100.1723
11/1/1979 0:00,100.0135
12/1/1979 0:00,99.88046
1/1/1980 0:00,99.81148
2/1/1980 0:00,99.61262
3/1/1980 0:00,99.05502
4/1/1980 0:00,98.30458
5/1/1980 0:00,97.64997
6/1/1980 0:00,97.43008
7/1/1980 0:00,97.6328
8/1/1980 0:00,98.11057
9/1/1980 0:00,98.55833
10/1/1980 0:00,98.86028
11/1/1980 0:00,98.91795
12/1/1980 0:00,98.74148
1/1/1981 0:00,98.52757
2/1/1981 0:00,98.42053
3/1/1981 0:00,98.4412
4/1/1981 0:00,98.55415
5/1/1981 0:00,98.64722
6/1/1981 0:00,98.61591
7/1/1981 0:00,98.51642
8/1/1981 0:00,98.40128
9/1/1981 0:00,98.18019
10/1/1981 0:00,97.94839
11/1/1981 0:00,97.77262
12/1/1981 0:00,97.71508
1/1/1982 0:00,97.71025
2/1/1982 0:00,97.70619
3/1/1982 0:00,97.67567
4/1/1982 0:00,97.5993
5/1/1982 0:00,97.482
6/1/1982 0:00,97.40014
7/1/1982 0:00,97.30172
8/1/1982 0:00,97.21158
9/1/1982 0:00,97.20079
10/1/1982 0:00,97.26501
11/1/1982 0:00,97.44115
12/1/1982 0:00,97.79984
1/1/1983 0:00,98.26562
2/1/1983 0:00,98.7388
3/1/1983 0:00,99.02543
4/1/1983 0:00,99.20518
5/1/1983 0:00,99.40556
6/1/1983 0:00,99.66808
7/1/1983 0:00,99.96563
8/1/1983 0:00,100.1929
9/1/1983 0:00,100.3868
10/1/1983 0:00,100.5946
11/1/1983 0:00,100.7946
12/1/1983 0:00,100.8714
1/1/1984 0:00,100.727
2/1/1984 0:00,100.634
3/1/1984 0:00,100.5826
4/1/1984 0:00,100.5685
5/1/1984 0:00,100.5314
6/1/1984 0:00,100.4749
7/1/1984 0:00,100.3426
8/1/1984 0:00,100.1394
9/1/1984 0:00,99.95654
10/1/1984 0:00,99.86674
11/1/1984 0:00,99.82581
12/1/1984 0:00,99.82299
1/1/1985 0:00,99.80024
2/1/1985 0:00,99.75122
3/1/1985 0:00,99.6837
4/1/1985 0:00,99.65874
5/1/1985 0:00,99.63992
6/1/1985 0:00,99.64384
7/1/1985 0:00,99.66113
8/1/1985 0:00,99.72129
9/1/1985 0:00,99.84879
10/1/1985 0:00,99.96331
11/1/1985 0:00,100.0092
12/1/1985 0:00,99.96494
1/1/1986 0:00,99.89133
2/1/1986 0:00,99.84457
3/1/1986 0:00,99.7916
4/1/1986 0:00,99.72952
5/1/1986 0:00,99.69429
6/1/1986 0:00,99.59744
7/1/1986 0:00,99.55833
8/1/1986 0:00,99.64198
9/1/1986 0:00,99.70073
10/1/1986 0:00,99.71179
11/1/1986 0:00,99.73521
12/1/1986 0:00,99.79228
1/1/1987 0:00,99.89699
2/1/1987 0:00,99.995
3/1/1987 0:00,100.1466
4/1/1987 0:00,100.2951
5/1/1987 0:00,100.4402
6/1/1987 0:00,100.5671
7/1/1987 0:00,100.7217
8/1/1987 0:00,100.9256
9/1/1987 0:00,101.0978
10/1/1987 0:00,101.2104
11/1/1987 0:00,101.2438
